title,main_story
A Fistful of Gun,3.0
A Foretold Affair,4.0
A Game of Dwarves,35.0
A Game of Thrones: Genesis,10.0
A Goddess for Free,0.7166666666666667
A Golden Wake,5.0
A Good Snowman is Hard to Build,1.5
A Hat in Time,8.5
A Hat in Time - Nyakuza Metro,2.0
A Hat in Time - Seal the Deal,2.0
A Healer Only Lives Twice,2.0
A Hole New World,2.5
A House of Many Doors,20.0
A Kappa's Trail,6.0
A King's Tale: Final Fantasy XV,1.5
A Kingdom for Keflings,6.0
A Lenda do Heroi,11.5
A Light in the Dark,4.0
A Little Lily Princess,6.5
A Lonely Moon,0.08333333333333333
A Magical High School Girl,12.0
A Midsummer Night's Choice,2.0
A Mortician's Tale,0.9666666666666667
A Mother's Inferno,0.25
A New Beginning,9.0
A New Reckoning,0.25
A Nightmare on Elm Street,1.0
A Noble Circle,0.25
A Normal Lost Phone,1.5
A Plague Tale: Innocence,9.5
A Raven Monologue,0.08333333333333333
A Robot Named Fight!,2.5
A Rose in the Twilight,6.0
A Salem Witch Trial,1.0
A Second Before Us,2.5
A Second Face,2.5
A Short Hike,1.5
A Snake's Tale,3.0
A Sound of Thunder,3.5
A Space Shooter For Two Bucks!,5.5
A Story About My Uncle,3.0
A Stroke of Fate: Operation Valkyrie,7.0
A Summer Promise to Forever,2.5
A Trip to Yugoslavia,0.5666666666666667
A Valley Without Wind,17.5
A Valley Without Wind 2,9.5
A Vampyre Story,7.5
A Virus Named Tom,4.0
A Walk in the Dark,3.5
A Way Out,6.0
A Week of Garfield,2.0
A Wild Catgirl Appears!,1.0
A Wise Use of Time,5.5
A Witch's Tale,16.0
A Wizard's Lizard,1.0
A Wolf in Autumn,0.7666666666666667
A World of Keflings,7.0
"A World of Keflings - Sugar, Spice and Not So Nice",1.5
A-Gents,1.5
A-Men,9.0
A-Men 2,14.0
A.I.M. Racing,14.0
A.R.C. Squadron,3.0
A.R.E.S. Extinction Agenda EX,3.0
A.R.E.S.: Extinction Agenda,2.0
A.V.G.M.,0.5
A.W.: Phoenix Festa,4.0
A/X-101,1.0
A2Be,0.48333333333333334
ABC Coloring Town,1.5
ABE VR,0.08333333333333333
ABZÛ,2.0
ACE Academy,9.0
ADOM: Ancient Domains Of Mystery,80.0
ADventure Lib,0.5166666666666667
AER: Memories of Old,3.0
AFFECTED: The Manor,1.0
AFL Live 2004,64.0
AGON: The Lost Sword of Toledo,7.0
AGON: The Mysterious Codex,5.0
AI War: Fleet Command,16.0
AIDEN,0.5
AIRHEART,6.0
AIRIS,3.0
AIdol,3.0
ALLTYNEX Second,3.5
ALONE?,0.36666666666666664
AM2R: Return of Samus,5.5
AMBER: Journeys Beyond,3.0
AR-K,4.0
"AR-K: Episode 1 - Sex, Lies and Class Work",1.5
AR-K: Episode 2 - The Girl Who Wasn't There,0.9333333333333333
AR-K: Episode 3 - The Great Escape,2.0
ARAYA,5.0
ARMA 3,19.0
ARMA II,17.0
ARMA II: Operation Arrowhead,8.0
ARMA II: Private Military Company,6.0
ARMA Tactics,23.0
ARMA: Armed Assault,11.0
ARMA: Gold Edition,25.0
ASCII Game Series: Snake,0.6666666666666666
ASH: Archaic Sealed Heat,45.0
ATOM RPG,40.0
ATV Mania,0.5833333333333334
ATV Offroad Fury,4.0
ATV Offroad Fury 2,15.0
ATV Offroad Fury 4,6.5
ATV Quad Power Racing 2,7.0
ATV Racers,0.5
ATV: Quad Power Racing,5.0
AVSEQ,1.5
AWAKE (2019),0.38333333333333336
AWESOME Land,2.5
AaAaAA!!! - A Reckless Disregard for Gravity,4.0
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,4.0
Aaahh!!! Real Monsters,2.5
Aabs Animal,0.08333333333333333
Aaero,1.5
Aarklash: Legacy,14.5
Aaru's Awakening,3.0
Abadox: The Deadly Inner War,0.75
Abalone,0.4
