title,appid,categories,genres,price,developer,publisher
Borderlands 2,49520.0,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,RPG",$19.99,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)"
Darkest Dungeon®,262060.0,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Tablet","Indie,RPG,Strategy",$24.99,Red Hook Studios,Red Hook Studios
The Incredible Adventures of Van Helsing,215530.0,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV","Action,Adventure,Indie,RPG",$14.99,NeocoreGames,NeocoreGames
DayZ,221100.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","Action,Adventure,Massively Multiplayer",$44.99,Bohemia Interactive,Bohemia Interactive
Mount & Blade: Warband,48700.0,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,RPG",$19.99,TaleWorlds Entertainment,TaleWorlds Entertainment
Tabletop Simulator,286160.0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together","Casual,Indie,RPG,Simulation,Strategy",$19.99,Berserk Games,Berserk Games
FATE,246840.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG",$7.99,WildTangent,WildTangent
FATE: Undiscovered Realms,276890.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Adventure,RPG",$7.99,WildTangent,WildTangent
Heroes & Generals,227940.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases,Stats","Action,Free to Play,Indie,Massively Multiplayer,Strategy",None,TLM Partners,TLM Partners
Alien: Isolation,214490.0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV",Action,$39.99,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)"
Gloria Victis,327070.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Stats","Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation",$12.99,Black Eye Games,Black Eye Games
Counter-Strike: Global Offensive,730.0,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Free to Play",None,"Valve,Hidden Path Entertainment",Valve
This War of Mine,282070.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud","Adventure,Indie,Simulation",$19.99,11 bit studios,11 bit studios
Town of Salem,334230.0,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Steam Cloud","Indie,RPG,Strategy",$4.99,BlankMediaGames,BlankMediaGames
DARK SOULS™ II: Scholar of the First Sin,335300.0,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,RPG",$39.99,"FromSoftware, Inc","Bandai Namco Entertainment,FromSoftware, Inc"
MechWarrior Online,342200.0,"Multi-player,MMO,Steam Achievements","Action,Free to Play,Massively Multiplayer,Simulation,Strategy",None,Piranha Games Inc.,Piranha Games Inc.
Immortal Empire,344190.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Indie,RPG,Strategy",None,Tactic Studios Inc.,Tactic Studios Inc.
ARK: Survival Evolved,346110.0,"Single-player,Multi-player,MMO,Co-op,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Remote Play on Tablet","Action,Adventure,Indie,Massively Multiplayer,RPG",$19.99,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Studio Wildcard
ARK: Survival Of The Fittest,407530.0,"Multi-player,Co-op,Steam Workshop,Partial Controller Support,Stats,Steam Leaderboards,Includes level editor","Action,Adventure,Indie,Massively Multiplayer,RPG,Strategy",None,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Studio Wildcard
Pillars of Eternity,291650.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available,Remote Play on Tablet",RPG,$29.99,Obsidian Entertainment,Paradox Interactive
Killing Floor 2,232090.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Includes level editor,Remote Play on Tablet,Remote Play on TV",Action,$29.99,Tripwire Interactive,Tripwire Interactive
Dragon's Dogma: Dark Arisen,367500.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,RPG",$29.99,Capcom,Capcom
Don't Starve Together,322330.0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Adventure,Indie,Simulation",$14.99,Klei Entertainment,Klei Entertainment
Dead by Daylight,381210.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Action,$19.99,Behaviour Interactive Inc.,Behaviour Interactive Inc.
SMITE,386360.0,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Free to Play",None,Titan Forge Games,Hi-Rez Studios
SMITE - Public Test,858460.0,None,None,None,None,None
Brawlhalla,291550.0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Free to Play,Indie",None,Blue Mammoth Games,Ubisoft
How to Survive 2,360170.0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together","Action,Adventure,RPG",$14.99,Eko Software,505 Games
Stardew Valley,413150.0,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Indie,RPG,Simulation",$14.99,ConcernedApe,ConcernedApe
Creativerse,280790.0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Trading Cards,Steam Workshop","Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation",$24.99,Playful Corp.,Playful Corp.
War of Rights,424030.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,Partial Controller Support","Action,Indie,Simulation,Strategy,Early Access",$29.99,Campfire Games,Campfire Games
IMSCARED,429720.0,"Single-player,Steam Achievements","Action,Adventure,Indie",$3.99,Ivan Zanotti's MyMadnessWorks,Ivan Zanotti's MyMadnessWorks
AdventureQuest 3D,429790.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,In-App Purchases","Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG",None,"Artix Entertainment, LLC","Artix Entertainment, LLC"
Golf With Your Friends,431240.0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Steam Workshop,Partial Controller Support,Stats,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Casual,Indie,Sports",$4.94,"Blacklight Interactive,Team17",Team17
Wallpaper Engine,431960.0,"Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Workshop,Includes level editor","Casual,Indie,Animation & Modeling,Design & Illustration,Photo Editing,Utilities",$3.99,Wallpaper Engine Team,Wallpaper Engine Team
Paladins,444090.0,"Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Remote Play on Phone,Remote Play on Tablet","Action,Adventure,Free to Play,Massively Multiplayer,Strategy",None,Evil Mojo Games,Hi-Rez Studios
Paladins - Public Test,596350.0,None,None,None,None,None
The Bottom of the Well,449020.0,"Single-player,Steam Achievements","Free to Play,RPG",None,Red Nettle Studio,Red Nettle Studio
Stellaris,281990.0,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Simulation,Strategy",$39.99,Paradox Development Studio,Paradox Interactive
GTFO,493520.0,"Multi-player,Co-op,Online Co-op,Steam Trading Cards,Partial Controller Support",Action,$39.99,10 Chambers,10 Chambers
The Witcher 3: Wild Hunt,292030.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV",RPG,$39.99,CD PROJEKT RED,CD PROJEKT RED
Deep Rock Galactic,548430.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on Tablet,Remote Play on TV",Action,$29.99,Ghost Ship Games,Coffee Stain Publishing
Alien Swarm: Reactive Drop,563560.0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,Captions available,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Includes Source SDK","Action,Free to Play",None,Reactive Drop Team,Reactive Drop Team
Kingdoms and Castles,569480.0,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Remote Play on Tablet","Indie,Simulation,Strategy",$14.99,"Lion Shield, LLC","Lion Shield, LLC"
